new_name,old_name,label
,StartDate,Start Date
,EndDate,End Date
,Status,Response Type
,IPAddress,IP Address
,Progress,Progress
,Duration__in_seconds_,Duration (in seconds)
,Finished,Finished
,RecordedDate,Recorded Date
,ResponseId,Response ID
,RecipientLastName,Recipient Last Name
,RecipientFirstName,Recipient First Name
,RecipientEmail,Recipient Email
,ExternalReference,External Data Reference
,LocationLatitude,Location Latitude
,LocationLongitude,Location Longitude
,DistributionChannel,Distribution Channel
,UserLanguage,User Language
,Q3,"Primero, seleccione el código de tu país:"
,Q4,"Por favor, introduce el número de móvil de tu padre o madre (sin código de país):"
,Q5,"Por favor, confirma el número de móvil de tu padre o madre (sin código de país):"
,Q6,"Por favor, introduce el número de móvil de tu padre o madre (sin código de país):"
,Q7,"Por favor, confirma el número de móvil de tu padre o madre (sin código de país):"
,Q8,"Por favor introduce el número de móvil de tu padre o madre en el formato de



+[código de país] [número de teléfono]"
,Q9,"Por favor, confirma el número de móvil de tu padre o madre en el formato de



+[código de país] [número de teléfono]"
,Q10,¿Cuántos años tienes?
,Q11,"¿Cuál es tu fecha de nacimiento?



Día"
,Q12,Mes
,Q13,Año
,Q14_1,"Por favor, responde a las siguientes preguntas en una escala del 0 al 10: - En general, ¿qué tan satisfecho/a te sientes con tu vida?"
,Q15_1,"Q15 - En general, me considero una persona feliz."
,Q16_1,"Q16 - En general, ¿cómo calificarías tu salud física?"
,Q17_1,"Q17 - En general, ¿cómo calificarías tu salud mental?"
,Q18_1,"Q18 - En general, ¿hasta qué punto sientes que las cosas que haces en tu vida valen la pena?"
,Q19_1,Q19 - Ahora mismo estoy haciendo cosas que me ayudarán a lograr mis metas en la vida.
,Q20_1,"Q20 - Siempre actúo para promover el bien en todas las circunstancias, incluso en situaciones difíciles y adversas."
,Q21_1,Q21 - Siempre soy capaz de renunciar a algo de felicidad ahora a cambio de conseguir una mayor felicidad más tarde.
,Q22_1,Q22 - Estoy contento/a con mis amistades y relaciones.
,Q23_1,Q23 - Tengo personas en mi vida con las que puedo hablar de cosas que realmente importan.
,Q24_1,Q24 - Mi familia tiene suficiente dinero para vivir una vida verdaderamente digna.
,Q25_1,"Q25 - ¿Con qué frecuencia te preocupa la seguridad, la comida o la vivienda?"
,Q26_1,"Por favor, responde a las siguientes preguntas en una escala del 0 al 10: - En general, estoy contento con la vida."
,Q27_1,Q27 - Soy una persona feliz.
,Q28_1,Q28 - ¿Te sientes sano/a?
,Q29_1,Q29 - Mi mente está tranquila.
,Q30_1,Q30 - ¿Sientes que las cosas que haces en tu vida valen la pena?
,Q31_1,Q31 - Ahora mismo estoy haciendo cosas que me ayudarán en mi vida cuando crezca.
,Q32_1,"Q32 - Siempre hago lo que es bueno, aunque me cueste."
,Q33_1,Q33 - Siempre soy capaz de hacer algo que me cueste ahora que sé que me hará feliz después.
,Q34_1,Q34 - Soy muy feliz con mis amistades y mis relaciones.
,Q35_1,Q35 - Tengo personas en mi vida con las que puedo hablar de cosas que realmente importan.
,Q36_1,Q36 - Mi familia tiene suficiente dinero para vivir una buena vida.
,Q37_1,"Q37 - ¿Con qué frecuencia te preocupas por estar seguro, tener comida para comer o tener un lugar en el que vivir?"
,Q38_1,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mi madre/padre nota cuando estoy molesta/o por algo."
,Q38_2,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Siento que mi madre/padre no me entiende."
,Q38_3,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mi madre/padre me anima a hablar sobre mis dificultades."
,Q38_4,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mi madre/padre confía en mi juicio."
,Q38_5,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Si mi madre/padre sabe que algo me está molestando, me pregunta al respecto."
,Q38_6,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - No puedo depender de mi madre/padre estos días."
,Q38_7,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Cuando hablamos de cosas, mi padre considera mi punto de vista."
,Q38_8,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Le cuento a mi padre mis problemas y dificultades."
,Q38_9,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Me molesto mucho más de lo que mi madre/padre se da cuenta."
,Q38_10,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mi madre/padre me ayuda a entenderme mejor a mí misma/o."
,Q38_11,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mis padres respetan mis sentimientos."
,Q38_12,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mis padres no entienden por lo que estoy pasando estos días."
,Q38_13,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Puedo contar con mis padres cuando necesito sacar algo de mi pecho."
,Q38_14,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Confío en mis padres."
,Q39_1,Responde a lo siguiente: - Soy paciente con otras personas.
,Q39_2,Responde a lo siguiente: - Mis padres dirían que soy muy paciente.
,Q40_1,Por favor responda a lo siguiente: - Soy bastante tranquilo/a.
,Q40_2,Por favor responda a lo siguiente: - Me gusta estar en paz.
,Q40_3,Por favor responda a lo siguiente: - Cuando alguien me molesta trato de quedarme tranquilo/a.
,Q40_4,Por favor responda a lo siguiente: - Casi siempre estoy relajado/a.
,Q40_5,Por favor responda a lo siguiente: - Cuando las cosas salen mal intento tranquilizarme.
,Q40_6,Por favor responda a lo siguiente: - Aunque las demás personas estén nerviosos yo puedo sentirme tranquilo/a.
,Q40_7,Por favor responda a lo siguiente: - La mayor parte de los días me siento en paz.
,Q40_8,"Por favor responda a lo siguiente: - Aunque tenga problemas, igual mantengo la calma."
,Q40_9,Por favor responda a lo siguiente: - Me quedo tranquilo/a aunque no pueda hacer lo que me gusta.
,Q40_10,Por favor responda a lo siguiente: - Soluciono los problemas con mucha tranquilidad.
,Q40_11,Por favor responda a lo siguiente: - Cuando tengo miedo trato de serenarme.
,Q41_1,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mi madre/padre me ama profundamente."
,Q41_2,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mi madre/padre desea profundamente que nuestras vidas siempre estén estrechamente conectadas."
,Q41_3,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones. - Mi madre/padre desea profundamente que me vaya bien en todo."
,Q42_1,Q42 - Amo profundamente a mi madre/padre.
,Q42_2,Q42 - Realmente deseo que mi vida siempre esté estrechamente conectada con mi madre/padre.
,Q42_3,Q42 - Realmente quiero que le vaya bien en todo a mi madre/padre.
,Q43,¿Cuál es tu género? - Selected Choice
,Q43_3_TEXT,¿Cuál es tu género? - Prefiero describirlo yo mismo/a - Text
,Q44,¿Con qué frecuencia asiste a servicios religiosos?
,Q45,"En un día normal, ¿cuántas horas pasa en su teléfono/dispositivo móvil?"
,Q46,"Por favor, piensa en tu padre o madre, el/la que compartió este cuestionario contigo, cuando respondas a las siguientes declaraciones.



Paso todo el tiempo de calidad que me gustaría con mi madre/padre."
,Q48,"En los últimos 2 meses, ¿ha reflexionado tu padre/madre contigo acerca de aquello por lo que hay que estar agradecido? (en el que tú has reflexionado en aquello por lo que estás agradecido)?"
,Q71,¿Qué dijiste? ¿Qué te hace sentir agradecido/a?
,Q50,"En los últimos 2 meses, ¿alguna vez tu padre/madre utilizó un ejercicio de respiración contigo para calmarse?"
,Q72,¿Qué sucedió? ¿Qué hicieron?
,Q73,"En los últimos 2 meses, ¿intentaron tus padres ayudarte a tranquilizarte?"
,Q74,"¿Qué sucedió? ¿Qué hicieron? ¿Hicieron algo diferente a lo habitual? Si es así, ¿qué?"
,Q57,"En los últimos 2 meses, ¿intentaron tus padres comprender tu perspectiva (lo que piensas) sobre un desacuerdo?"
,Q76,¿Qué sucedió? ¿Qué dijeron?
,Q58,"En los últimos 2 meses, ¿te preguntaron tus padres cómo te sentiste durante un desacuerdo?"
,Q77,¿Qué sucedió? ¿Qué dijeron?
,Q59,"En los últimos dos meses, ¿te habló tu padre o tu madre de una manera que te hizo sentir apoyado y cuidado después de hacer algo malo?"
,Q78,¿Qué sucedió? ¿Qué dijeron?
,Q60,"En los últimos dos meses, ¿te pidió perdón tu padre o tu madre después de enojarse contigo o gritarte?"
,Q79,¿Qué sucedió? ¿Qué dijeron?
,Q61,"En los últimos dos meses, ¿has notado que tu padre o tu madre es más paciente contigo?"
,Q80,¿Puedes describir un momento en los últimos dos meses en el que tu padre o tu madre fue más paciente contigo?
,Q62,"En los últimos dos meses, ¿has notado que tu padre o tu madre está más tranquilo?"
,Q63,"En los últimos dos meses, ¿has notado que tu padre o tu madre ha estado alegre?"
